"Scientific Name","Common Name","Where Listed","Region  ","ESA Listing Status  ","Group"
"Myotis sodalis","Indiana bat","Wherever found","3","Endangered","Mammals"
"Ursus arctos horribilis","Grizzly bear","U.S.A., conterminous (lower 48) States, except where listed as an experimental population","6","Threatened","Mammals"
"Odocoileus virginianus leucurus","Columbian white-tailed deer","Columbia River DPS","1","Threatened","Mammals"
"Odocoileus virginianus clavium","Key deer","Wherever found","4","Endangered","Mammals"
"Mustela nigripes","Black-footed ferret","Wherever found, except where listed as an experimental population","6","Endangered","Mammals"
"Vulpes macrotis mutica","San Joaquin kit fox","wherever found","8","Endangered","Mammals"
"Trichechus manatus","West Indian Manatee","Wherever found","4","Threatened","Mammals"
"Puma (=Felis) concolor coryi","Florida panther","Wherever found","4","Endangered","Mammals"
"Antilocapra americana sonoriensis","Sonoran pronghorn","Wherever found, except where listed as an experimental population","2","Endangered","Mammals"
"Canis lupus baileyi","Mexican wolf","Wherever found, except where listed as an experimental population","2","Endangered","Mammals"
"Canis rufus","Red wolf","Wherever found, except where listed as an experimental population","4","Endangered","Mammals"
"Lasiurus cinereus semotus","Hawaiian hoary bat","Wherever found","1","Endangered","Mammals"
"Dipodomys heermanni morroensis","Morro Bay kangaroo rat","Wherever found","8","Endangered","Mammals"
"Reithrodontomys raviventris","Salt marsh harvest mouse","wherever found","8","Endangered","Mammals"
"Panthera onca","Jaguar","Wherever found","2","Endangered","Mammals"
"Cynomys parvidens","Utah prairie dog","Wherever found","6","Threatened","Mammals"
"Myotis grisescens","Gray bat","Wherever found","3","Endangered","Mammals"
"Herpailurus (=Felis) yagouaroundi cacomitli","Gulf Coast jaguarundi","Wherever found","2","Endangered","Mammals"
"Herpailurus (=Felis) yagouaroundi tolteca","Sinaloan Jaguarundi","Wherever found","2","Endangered","Mammals"
"Lynx canadensis","Canada Lynx","Wherever Found in Contiguous U.S.","6","Threatened","Mammals"
"Corynorhinus (=Plecotus) townsendii ingens","Ozark big-eared bat","Wherever found","2","Endangered","Mammals"
"Pteropus tokudae","Little Mariana fruit Bat","Wherever found","1","Endangered","Mammals"
"Corynorhinus (=Plecotus) townsendii virginianus","Virginia big-eared bat","Wherever found","5","Endangered","Mammals"
"Microtus californicus scirpensis","Amargosa vole","Wherever found","8","Endangered","Mammals"
"Oryzomys palustris natator","Silver rice rat","lower FL Keys","4","Endangered","Mammals"
"Leopardus (=Felis) pardalis","Ocelot","wherever found","2","Endangered","Mammals"
"Peromyscus gossypinus allapaticola","Key Largo cotton mouse","Wherever found","4","Endangered","Mammals"
"Neotoma floridana smalli","Key Largo woodrat","Wherever found","4","Endangered","Mammals"
"Rangifer tarandus caribou","Woodland Caribou","Southern Mountain DPS","1","Endangered","Mammals"
"Peromyscus polionotus allophrys","Choctawhatchee beach mouse","Wherever found","4","Endangered","Mammals"
"Peromyscus polionotus trissyllepsis","Perdido Key beach mouse","Wherever found","4","Endangered","Mammals"
